MONTH,DAY,MONTH/DAY,AVG MAX DAY,MAX MAX DAY,MAX DAY YEAR,AVG MIN DAY,MIN MIN DAY,MIN DAY YEAR
1,1,1/1,23.97,33.3,2020,22.85,17.8,2007
1,2,1/2,23.35,33.4,2015,22.37,16.6,2012
1,3,1/3,23.27,35.6,2014,22.21,15.5,2012
1,4,1/4,23.02,32.5,2010,21.98,16.2,2009
1,5,1/5,23.17,32.4,2013,22.08,15.4,2009
1,6,1/6,23.6,32,2016,22.44,15.6,2009
1,7,1/7,23.75,33.6,2015,22.64,16.3,2018
1,8,1/8,23.77,34.3,2016,22.58,17.1,2022
1,9,1/9,23.87,34.5,2019,22.75,16.3,2022
1,10,1/10,24.16,34.2,2015,23.14,16.3,2022
1,11,1/11,24.22,35.1,2015,23.1,16.7,2013
1,12,1/12,23.84,35.4,2015,22.79,16,2013
1,13,1/13,23.73,35,2015,22.69,16.5,2014
1,14,1/14,23.82,34.1,2015,22.65,17.6,2013
1,15,1/15,23.4,33,2015,22.4,17.9,2013
1,16,1/16,23.71,33.3,2015,22.46,17.6,2007
1,17,1/17,23.3,35.6,2015,22.25,15.7,2016
1,18,1/18,23.85,36.2,2015,22.74,17.1,2020
1,19,1/19,23.77,36.6,2015,22.63,17.7,2016
1,20,1/20,23.31,36.7,2015,22.26,16.7,2008
1,21,1/21,22.78,33.7,2019,21.79,16.3,2008
1,22,1/22,22.28,33.7,2022,21.25,15.4,2008
1,23,1/23,22.61,33.8,2022,21.54,15,2008
1,24,1/24,23.18,34,2018,22,16.4,2008
1,25,1/25,23.78,32.8,2014,22.64,16.7,2020
1,26,1/26,23.31,33.1,2016,22.3,16,2020
1,27,1/27,23.36,33.6,2014,22.35,15.5,2012
1,28,1/28,23.7,33.8,2019,22.62,14.7,2012
1,29,1/29,23.88,34.1,2014,22.9,15.4,2012
1,30,1/30,23.69,35.5,2019,22.62,14.4,2012
1,31,1/31,24.13,34.7,2014,23.05,15.6,2012
2,1,2/1,24.64,35.9,2014,23.39,18.1,2018
2,2,2/2,24.57,35.7,2019,23.4,18.7,2012
2,3,2/3,24.33,34.9,2014,23.17,18,2015
2,4,2/4,23.47,34.6,2014,22.44,16.8,2018
2,5,2/5,23.93,35.7,2014,22.79,17,2019
2,6,2/6,23.72,35.7,2014,22.63,16.8,2019
2,7,2/7,23.81,36.5,2014,22.64,16.8,2015
2,8,2/8,24.22,36.3,2014,22.99,17,2021
2,9,2/9,24.51,36.1,2014,23.3,17,2022
2,10,2/10,24.27,34.9,2014,23.12,16.5,2022
2,11,2/11,24.13,33.3,2014,23.03,16.2,2020
2,12,2/12,24.09,32.7,2014,23.01,16.9,2020
2,13,2/13,23.48,33.7,2014,22.46,15.9,2007
2,14,2/14,23.76,33.6,2010,22.57,16.6,2020
2,15,2/15,23.54,33.4,2010,22.53,17.1,2007
2,16,2/16,23.46,32.8,2013,22.39,16.9,2018
2,17,2/17,23.93,33.5,2017,22.75,17.5,2008
2,18,2/18,23.78,34,2013,22.62,17.2,2008
2,19,2/19,24.23,34.3,2017,23.04,16.9,2022
2,20,2/20,24.6,33.9,2017,23.39,16.3,2011
2,21,2/21,24.59,32.4,2011,23.44,17.6,2011
2,22,2/22,24.44,33.1,2017,23.23,16.9,2020
2,23,2/23,24.43,32.9,2010,23.32,16,2020
2,24,2/24,24.31,32.6,2019,23.1,17.7,2020
2,25,2/25,23.57,32.6,2022,22.47,17.6,2018
2,26,2/26,23.18,33.2,2014,22.07,17.8,2010
2,27,2/27,23.1,33.4,2014,22.08,15.6,2020
2,28,2/28,23.09,32.9,2022,22.1,16.7,2020
2,29,2/29,22.28,33.6,2012,21.49,17.3,2008
3,1,3/1,23.25,34,2009,22.24,16.1,2010
3,2,3/2,23.47,33.1,2009,22.43,16.5,2010
3,3,3/3,23.29,33.1,2022,22.27,16.2,2011
3,4,3/4,23.61,32.5,2009,22.55,15.6,2020
3,5,3/5,23.83,32.7,2009,22.78,16,2020
3,6,3/6,23.59,32.8,2009,22.44,16.1,2020
3,7,3/7,23.12,32.6,2007,21.9,16.3,2020
3,8,3/8,23.19,32.6,2007,22.14,16.6,2020
3,9,3/9,23.99,33.9,2019,22.77,17.4,2008
3,10,3/10,23.94,32,2022,22.8,17,2021
3,11,3/11,23.66,31,2010,22.61,18.1,2012
3,12,3/12,24.14,32.4,2010,23.04,16.4,2012
3,13,3/13,23.63,32.1,2010,22.59,18.4,2016
3,14,3/14,23.42,33.4,2018,22.34,16.6,2008
3,15,3/15,23.23,32.9,2020,22.24,16.3,2008
3,16,3/16,23.21,33.4,2014,22.16,16.3,2008
3,17,3/17,22.68,31.6,2014,21.72,16.2,2008
3,18,3/18,22.55,32.1,2018,21.57,15.1,2013
3,19,3/19,22.68,32.5,2018,21.71,15.5,2013
3,20,3/20,22.33,31.4,2018,21.36,15.9,2013
3,21,3/21,22,31.8,2021,21.07,15.5,2017
3,22,3/22,22.27,31.1,2021,21.29,15.7,2022
3,23,3/23,22.32,31.8,2021,21.3,16.4,2019
3,24,3/24,22.86,32.9,2010,21.79,16.2,2020
3,25,3/25,23.05,31.6,2019,21.95,16.1,2020
3,26,3/26,23.16,33,2021,22.11,14.9,2020
3,27,3/27,23.44,34,2021,22.33,16.1,2020
3,28,3/28,23.14,33.2,2007,22.09,14.7,2012
3,29,3/29,22.59,32,2021,21.5,14.5,2012
3,30,3/30,22.35,32.1,2007,21.37,16.6,2017
3,31,3/31,22.31,32.1,2007,21.31,15.6,2008
4,1,4/1,22.08,30.5,2007,21.06,15.3,2008
4,2,4/2,22.09,32.1,2007,21.11,16.1,2017
4,3,4/3,22.22,31.8,2016,21.29,16.3,2017
4,4,4/4,22.7,32,2019,21.69,16.6,2020
4,5,4/5,22.58,31.2,2019,21.61,16.2,2020
4,6,4/6,21.97,31.2,2020,21.05,13.2,2010
4,7,4/7,21.51,32.1,2016,20.55,13.2,2010
4,8,4/8,21.46,30.6,2016,20.56,13.8,2010
4,9,4/9,21.59,32.8,2016,20.58,14.4,2010
4,10,4/10,21.6,31.4,2016,20.6,14,2010
4,11,4/11,22.12,30.4,2014,21.02,14,2010
4,12,4/12,22.6,32,2016,21.53,14.4,2010
4,13,4/13,21.93,31.4,2016,21.01,15,2020
4,14,4/14,21.3,31.9,2011,20.41,15.6,2013
4,15,4/15,21.23,32.7,2016,20.28,14.4,2013
4,16,4/16,21.2,31.6,2016,20.2,13.1,2022
4,17,4/17,21.01,30.9,2016,20.01,13.8,2009
4,18,4/18,20.96,32,2016,19.9,13.5,2013
4,19,4/19,21.18,31.4,2016,20.14,14,2018
4,20,4/20,21.46,31.2,2016,20.41,14.3,2013
4,21,4/21,21.58,31.5,2016,20.56,13.7,2018
4,22,4/22,21.12,31.5,2016,20.16,14.6,2013
4,23,4/23,21.42,31.2,2016,20.46,14.4,2013
4,24,4/24,21.33,31,2016,20.32,14.6,2009
4,25,4/25,21.83,30.6,2016,20.8,14,2013
4,26,4/26,21.66,31.1,2022,20.66,13.7,2013
4,27,4/27,20.5,30.5,2022,19.61,14.1,2014
4,28,4/28,19.64,30.1,2022,18.73,12.8,2016
4,29,4/29,19.44,28.2,2018,18.56,12,2014
4,30,4/30,19.44,29.7,2013,18.51,12.3,2014
5,1,5/1,19.34,28.3,2018,18.35,11.4,2016
5,2,5/2,19.62,29.2,2022,18.62,10.4,2016
5,3,5/3,20.19,29.5,2019,19.19,13.3,2016
5,4,5/4,20.31,29.5,2018,19.27,12.4,2008
5,5,5/5,20.34,30.2,2018,19.33,12.3,2008
5,6,5/6,20.28,28.2,2010,19.26,12.4,2013
5,7,5/7,19.29,30.8,2010,18.38,10.9,2008
5,8,5/8,18.67,27.4,2014,17.78,10.1,2008
5,9,5/9,18.53,26.9,2009,17.6,9.9,2007
5,10,5/10,18.37,27,2019,17.44,9.6,2007
5,11,5/11,19.15,29.4,2019,18.16,11.1,2007
5,12,5/12,19.27,28.8,2019,18.3,12.3,2010
5,13,5/13,18.76,28,2019,17.92,11.4,2010
5,14,5/14,19.2,27.7,2009,18.29,13.8,2010
5,15,5/15,18.63,28.8,2013,17.75,13.4,2011
5,16,5/16,19.02,27.7,2007,18.04,12.7,2011
5,17,5/17,18.01,29.3,2007,17.16,12.2,2020
5,18,5/18,17.82,28,2007,17.02,7,2022
5,19,5/19,17.86,26.5,2008,17.08,8.3,2022
5,20,5/20,18.04,26.9,2008,17.07,7.3,2022
5,21,5/21,18.7,27.4,2021,17.73,9.5,2018
5,22,5/22,19.23,27.2,2020,18.22,9.8,2018
5,23,5/23,18.62,27.3,2019,17.69,10.5,2022
5,24,5/24,17.57,26.3,2015,16.72,10,2016
5,25,5/25,18.13,27.8,2015,17.2,8.5,2007
5,26,5/26,19.01,28.4,2017,18.06,10.6,2007
5,27,5/27,18.52,27.2,2015,17.6,11.5,2020
5,28,5/28,18.36,28.5,2021,17.45,10,2020
5,29,5/29,18.5,29,2021,17.61,9.6,2020
5,30,5/30,18.14,26.9,2019,17.27,9.4,2007
5,31,5/31,17.85,26.9,2019,17.01,8.9,2007
6,1,6/1,17.98,26.2,2020,17.1,10.8,2011
6,2,6/2,17.33,26.6,2021,16.54,8.4,2009
6,3,6/3,17.39,27.8,2021,16.58,8.4,2009
6,4,6/4,17.22,28.3,2017,16.31,6.8,2009
6,5,6/5,17.72,27,2021,16.78,6.6,2007
6,6,6/6,18.38,27.3,2021,17.43,8.5,2007
6,7,6/7,18.52,28,2014,17.54,8.7,2010
6,8,6/8,18.17,27.9,2014,17.28,9.2,2010
6,9,6/9,17.91,27.1,2007,17.03,9.3,2016
6,10,6/10,17.88,26.7,2020,17.05,5.9,2016
6,11,6/11,17.68,27.9,2020,16.76,7.2,2016
6,12,6/12,17.78,28.2,2018,16.8,6.5,2016
6,13,6/13,17.64,28.5,2020,16.65,4,2016
6,14,6/14,17.7,27.3,2015,16.76,7.6,2016
6,15,6/15,17.51,27.2,2007,16.63,8.8,2016
6,16,6/16,17.37,26.7,2019,16.48,9.7,2008
6,17,6/17,18.2,27,2007,17.22,8.4,2008
6,18,6/18,18.3,27,2007,17.23,10.5,2009
6,19,6/19,17.97,27.1,2010,17.02,11.5,2009
6,20,6/20,18.23,28.2,2020,17.36,11.4,2009
6,21,6/21,18.24,27.6,2020,17.38,11.9,2016
6,22,6/22,18.36,27.4,2020,17.44,10.9,2009
6,23,6/23,17.98,28,2022,17.01,11.2,2008
6,24,6/24,18.29,28.5,2018,17.32,11.6,2008
6,25,6/25,17.99,27.9,2010,17.2,12.4,2015
6,26,6/26,18.08,27.7,2019,17.18,11.7,2008
6,27,6/27,17.4,27.3,2014,16.51,10.5,2011
6,28,6/28,17.88,27.6,2019,16.86,6.2,2011
6,29,6/29,18.18,27,2019,17.2,7.3,2011
6,30,6/30,18.36,26.6,2018,17.33,6.3,2021
7,1,7/1,18.11,27.5,2018,17.07,6.8,2021
7,2,7/2,17.76,27.2,2018,16.83,9.5,2021
7,3,7/3,17.92,29.1,2014,16.97,10.3,2007
7,4,7/4,17.46,29.7,2014,16.47,8.7,2011
7,5,7/5,17.45,27.3,2007,16.43,8.5,2017
7,6,7/6,18.24,26.9,2013,17.18,7.4,2019
7,7,7/7,17.94,27.8,2020,16.97,6.5,2019
7,8,7/8,17.6,27.1,2018,16.61,7.1,2019
7,9,7/9,17.35,27.5,2007,16.33,8.5,2011
7,10,7/10,17.33,28,2016,16.31,9.3,2011
7,11,7/11,17.92,28.4,2016,16.89,9.5,2018
7,12,7/12,18.1,28.6,2016,17.1,9.7,2018
7,13,7/13,18.31,28.8,2015,17.21,8.3,2009
7,14,7/14,18.73,29.1,2015,17.64,8.7,2012
7,15,7/15,18.59,28.9,2016,17.55,8.7,2012
7,16,7/16,17.87,28.6,2018,16.96,9.4,2008
7,17,7/17,18.07,27.8,2022,17.06,9,2019
7,18,7/18,17.7,27.8,2018,16.72,8,2017
7,19,7/19,16.94,27.9,2018,15.9,7.9,2017
7,20,7/20,17.47,28.9,2011,16.41,6.3,2021
7,21,7/21,18.81,28.3,2018,17.59,8.6,2021
7,22,7/22,18.79,28.2,2007,17.66,8.3,2021
7,23,7/23,18.65,28,2010,17.56,7.4,2013
7,24,7/24,17.79,27.5,2012,16.82,5.5,2013
7,25,7/25,18.06,27.3,2022,17.05,8,2013
7,26,7/26,18.01,27.6,2012,16.96,8.9,2013
7,27,7/27,18.41,27.8,2021,17.29,8.1,2007
7,28,7/28,17.64,27.9,2020,16.69,8.4,2007
7,29,7/29,17.49,29,2018,16.48,5.3,2021
7,30,7/30,16.61,26.8,2015,15.62,4.3,2021
7,31,7/31,16.95,27,2013,15.96,6.5,2021
8,1,8/1,18.05,27.7,2008,17,9.3,2021
8,2,8/2,18.84,29.2,2019,17.81,10.9,2021
8,3,8/3,18.04,29.4,2013,17.05,10.4,2011
8,4,8/4,17.49,29.5,2014,16.5,6.3,2011
8,5,8/5,17.25,27.7,2022,16.22,6.5,2011
8,6,8/6,17.59,29.3,2011,16.6,9.9,2014
8,7,8/7,18.62,30.8,2011,17.49,9.4,2014
8,8,8/8,19.23,30,2011,18.13,11.2,2010
8,9,8/9,19.5,29.1,2017,18.44,12.6,2007
8,10,8/10,18.81,29.2,2019,17.79,10.2,2018
8,11,8/11,17.29,27.8,2014,16.19,9.3,2016
8,12,8/12,17.95,30.3,2014,16.88,8.5,2013
8,13,8/13,19.02,30.3,2011,17.86,10.2,2018
8,14,8/14,17.92,29.8,2016,16.9,9.1,2013
8,15,8/15,17.69,30.1,2016,16.65,7.7,2013
8,16,8/16,18.39,29.5,2022,17.4,8.7,2010
8,17,8/17,19.1,30.6,2021,18.09,9.6,2010
8,18,8/18,19,31.3,2021,17.96,9.7,2010
8,19,8/19,18.64,31.6,2021,17.6,8.8,2022
8,20,8/20,18.22,30.1,2021,17.24,8.8,2022
8,21,8/21,17.06,29.2,2021,16.11,8.7,2020
8,22,8/22,17,29.2,2014,16.05,8.2,2020
8,23,8/23,18.33,30.6,2021,17.23,9.1,2020
8,24,8/24,19.31,32.4,2021,18.22,9.2,2020
8,25,8/25,19.93,31.9,2021,18.83,9.9,2020
8,26,8/26,19.9,31.9,2021,18.71,8.5,2020
8,27,8/27,19,31.2,2010,17.87,11.1,2018
8,28,8/28,18.32,30.5,2011,17.17,10.1,2013
8,29,8/29,18.82,32.1,2011,17.68,10,2013
8,30,8/30,19.53,32.3,2015,18.38,9.7,2022
8,31,8/31,19.53,32.1,2015,18.35,10.6,2022
9,1,9/1,19.87,31.9,2018,18.65,9.2,2011
9,2,9/2,20.23,31.7,2018,18.93,8.8,2011
9,3,9/3,20.36,31.5,2010,19.17,8.8,2011
9,4,9/4,19.22,32.8,2020,18.19,10,2022
9,5,9/5,18.83,31.2,2011,17.84,11.2,2018
9,6,9/6,18.94,31.4,2020,17.92,9.8,2018
9,7,9/7,19.87,30.7,2012,18.82,12.5,2018
9,8,9/8,20.63,33.7,2021,19.41,12.1,2018
9,9,9/9,21.2,33.2,2012,20.01,12.9,2018
9,10,9/10,21.65,33.4,2020,20.4,13.7,2018
9,11,9/11,21.49,34.5,2019,20.3,12,2022
9,12,9/12,21.61,35.6,2019,20.43,12.6,2022
9,13,9/13,21.56,33.8,2021,20.43,12.6,2015
9,14,9/14,21.19,33,2021,20.18,13.1,2015
9,15,9/15,20.62,33.2,2017,19.62,12.7,2008
9,16,9/16,20.29,34.1,2019,19.23,12.6,2008
9,17,9/17,20.26,34.1,2019,19.16,11.5,2022
9,18,9/18,20.77,34.3,2015,19.65,9.7,2022
9,19,9/19,21.29,35.4,2015,20.18,10.6,2008
9,20,9/20,20.78,35.6,2021,19.75,12.8,2008
9,21,9/21,19.96,35,2021,18.96,11.1,2016
9,22,9/22,19.34,33.5,2015,18.32,12.1,2008
9,23,9/23,19.96,33.6,2015,18.76,11.9,2014
9,24,9/24,19.3,35,2015,18.25,9.8,2022
9,25,9/25,18.04,31.1,2015,17.06,10.6,2013
9,26,9/26,18.07,32.4,2020,17.14,9.1,2012
9,27,9/27,19.68,34.9,2020,18.58,9.2,2012
9,28,9/28,19.72,32.5,2020,18.69,10.3,2012
9,29,9/29,19.28,31.9,2011,18.24,9.7,2012
9,30,9/30,19.71,37.1,2020,18.72,12.3,2012
10,1,10/1,20.78,37.1,2020,19.7,12.8,2009
10,2,10/2,21.48,37.4,2020,20.36,14.3,2007
10,3,10/3,20.44,34.2,2012,19.37,11.8,2014
10,4,10/4,19.36,33,2012,18.48,11.2,2014
10,5,10/5,19.92,35.9,2020,18.79,11.1,2014
10,6,10/6,20.83,36.4,2020,19.68,11,2014
10,7,10/7,20.46,37.3,2020,19.43,12.9,2013
10,8,10/8,20.18,33.8,2015,19.17,12,2013
10,9,10/9,20.01,32,2014,19.01,11.3,2008
10,10,10/10,20.77,34.4,2014,19.72,12.3,2010
10,11,10/11,20.99,34.8,2017,19.91,11.3,2010
10,12,10/12,21.56,35.1,2014,20.38,10.6,2010
10,13,10/13,22.56,36.1,2014,21.39,10.4,2010
10,14,10/14,22.29,33.5,2019,21.13,13.6,2010
10,15,10/15,21.27,35.8,2015,20.25,13.3,2012
10,16,10/16,21.38,36,2015,20.36,13.6,2012
10,17,10/17,21.06,38.4,2014,20.02,14.5,2020
10,18,10/18,20.71,33.7,2016,19.69,13.5,2011
10,19,10/19,20.62,36.1,2016,19.57,12.2,2011
10,20,10/20,20.48,35.2,2015,19.36,11.9,2010
10,21,10/21,20.9,34.1,2007,19.81,11.9,2010
10,22,10/22,20.74,32.7,2012,19.68,13.6,2021
10,23,10/23,21.2,31.7,2021,20.08,13.7,2017
10,24,10/24,21.11,32.4,2013,20.08,13.8,2017
10,25,10/25,20.92,32.7,2008,19.94,14.4,2021
10,26,10/26,21.75,32.9,2008,20.67,14.6,2022
10,27,10/27,22.82,35.4,2019,21.69,14.2,2010
10,28,10/28,21.88,35.5,2012,20.74,13,2010
10,29,10/29,21.89,34.2,2007,20.69,12.3,2016
10,30,10/30,22.06,35.8,2012,20.97,14.3,2013
10,31,10/31,21.71,36.3,2012,20.67,12.5,2011
11,1,11/1,20.63,33,2014,19.63,12.1,2011
11,2,11/2,20.9,32.2,2019,19.79,11.1,2011
11,3,11/3,21.34,34.5,2019,20.2,11.6,2022
11,4,11/4,21.2,35.7,2019,20.18,9.9,2022
11,5,11/5,20.4,31.2,2009,19.4,11.6,2022
11,6,11/6,19.95,30.5,2009,18.98,12.4,2022
11,7,11/7,20.52,30.4,2014,19.48,13.4,2022
11,8,11/8,20.84,32.6,2010,19.74,11.4,2022
11,9,11/9,21.91,32.5,2010,20.82,14.5,2022
11,10,11/10,22.53,32.5,2013,21.44,16.2,2022
11,11,11/11,22.17,34.5,2013,21.09,14.6,2010
11,12,11/12,21.28,32.4,2015,20.34,12.6,2017
11,13,11/13,21.26,32.7,2022,20.2,12.1,2021
11,14,11/14,21.33,32.7,2018,20.31,13.2,2017
11,15,11/15,21.76,33.1,2020,20.63,14.1,2012
11,16,11/16,21.24,31.7,2017,20.2,13.5,2007
11,17,11/17,20.62,32.6,2021,19.52,13.4,2014
11,18,11/18,20.93,32.2,2009,19.86,12.8,2011
11,19,11/19,20.82,33,2009,19.77,12.9,2016
11,20,11/20,21.14,33.5,2013,20.01,12,2016
11,21,11/21,21.68,33.1,2014,20.53,13.6,2020
11,22,11/22,21.83,32.4,2019,20.76,13.5,2007
11,23,11/23,21.56,34.2,2012,20.47,14.4,2007
11,24,11/24,21.64,30.2,2007,20.57,14.4,2011
11,25,11/25,21.97,32.8,2021,20.85,14.3,2019
11,26,11/26,22.05,32.5,2009,20.95,15.2,2022
11,27,11/27,22.38,31.9,2020,21.26,15.5,2018
11,28,11/28,22.44,33.6,2020,21.33,13.4,2007
11,29,11/29,22.33,32.7,2013,21.14,13.6,2007
11,30,11/30,22.02,32.4,2019,20.95,14.9,2016
12,1,12/1,22.33,31.5,2014,21.25,14.9,2007
12,2,12/2,22.48,31.4,2012,21.36,14.6,2011
12,3,12/3,22.35,32.3,2007,21.27,14.9,2011
12,4,12/4,22.59,33.5,2013,21.43,13.9,2008
12,5,12/5,22.62,33.5,2013,21.51,13.8,2008
12,6,12/6,22.23,33,2012,21.11,14.1,2008
12,7,12/7,22.04,33.8,2012,21.02,15.4,2021
12,8,12/8,22.6,32.1,2008,21.47,13.7,2018
12,9,12/9,22.92,33.9,2008,21.84,12.8,2018
12,10,12/10,23.03,32.7,2012,21.92,14,2021
12,11,12/11,23.41,32.8,2021,22.29,15,2021
12,12,12/12,23.09,33.7,2018,21.99,15.1,2011
12,13,12/13,22.51,32.6,2012,21.44,15.6,2008
12,14,12/14,22.36,33.5,2018,21.36,15.9,2008
12,15,12/15,22.57,33.5,2018,21.49,15.6,2016
12,16,12/16,22.81,32.7,2018,21.73,14.4,2016
12,17,12/17,23.38,33.9,2018,22.22,15.7,2014
12,18,12/18,23.13,34,2018,21.93,16.4,2016
12,19,12/19,22.93,32.6,2020,21.85,17.1,2008
12,20,12/20,23.67,33.5,2012,22.47,16.3,2021
12,21,12/21,24.04,33.3,2011,22.81,17.1,2007
12,22,12/22,23.92,33.3,2018,22.81,16.9,2008
12,23,12/23,23.13,33.7,2016,22.06,16.8,2021
12,24,12/24,23.24,33.3,2016,22.12,16,2021
12,25,12/25,23.41,32.8,2012,22.26,15.3,2021
12,26,12/26,23.8,34,2016,22.66,16.2,2020
12,27,12/27,24.04,34.6,2014,22.94,16.2,2008
12,28,12/28,24.18,34,2014,23.03,17,2010
12,29,12/29,23.85,34,2016,22.67,15.9,2010
12,30,12/30,23.67,33.7,2007,22.63,16,2011
12,31,12/31,24.12,34.4,2007,23.08,17,2010